Alias,Type,Experiment,Species,Variety,ExperimentModalities,Repetition
193/DZ_PG_20/ZM4344/WD1/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG119,WD1,1
194/DZ_PG_04/ZM4366/WD1/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG321,WD1,1
195/DZ_PG_14/ZM4375/WD1/1/DIA2017-05-19,Plant,DIA2017,Maize,iPG101,WD1,1
196/DZ_PG_25/ZM4382/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG136,WD1,2
197/DZ_PG_19/ZM4367/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG117,WD1,2
198/DZ_PG_31/ZM4347/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG153,WD1,2
199/DZ_PG_35/ZM4358/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG164,WD1,2
200/DZ_PG_17/ZM4348/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG110,WD1,2
201/DZ_PG_24/ZM4342/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG131,WD1,2
202/DZ_PG_34/ZM4384/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG159,WD1,2
203/DZ_PG_50/ZM4363/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG233,WD1,2
204/DZ_PG_04/ZM4366/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG321,WD1,2
205/DZ_PG_49/ZM4389/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG228,WD1,2
206/DZ_PG_21/ZM4360/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG120,WD1,2
207/DZ_PG_69/ZM4396/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD1,2
208/DZ_PG_62/ZM4393/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG303,WD1,2
209/DZ_PG_63/ZM4392/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG304,WD1,2
210/DZ_PG_01/ZM4381/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG004,WD1,2
211/DZ_PG_12/ZM1304_lot1/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG082,WD1,2
212/DZ_PG_69/ZM4396/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG312,WD1,2
213/DZ_PG_03/ZM4377/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG017,WD1,2
214/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
215/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
216/DZ_PG_44/ZM4369/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG189,WD1,2
217/DZ_PG_45/ZM4385/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG194,WD1,2
218/DZ_PG_33/ZM4353/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG158,WD1,2
219/DZ_PG_52/ZM4370/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG239,WD1,2
220/DZ_PG_45/ZM4385/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG194,WD1,2
221/DZ_PG_51/ZM4350/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG234,WD1,2
222/DZ_PG_47/ZM4362/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG202,WD1,2
223/DZ_PG_48/ZM4421/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG216,WD1,2
224/DZ_PG_11/ZM4386/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG077,WD1,2
225/DZ_PG_43/ZM4380/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG188,WD1,2
226/DZ_PG_54/ZM4346/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG116,WD1,2
227/DZ_PG_05/ZM4357/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG026,WD1,2
228/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
229/DZ_PG_20/ZM4344/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG119,WD1,2
230/DZ_PG_72/ZM4398/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG314,WD1,2
231/DZ_PG_41/ZM4378/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG181,WD1,2
232/DZ_PG_74/ZM4397/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG313,WD1,2
233/DZ_PG_68/ZM4395/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG311,WD1,2
234/DZ_PG_37/ZM4364/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG167,WD1,2
235/DZ_PG_22/ZM4349/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG121,WD1,2
236/DZ_PG_06/ZM4376/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG029,WD1,2
237/DZ_PG_53/ZM4345/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG190,WD1,2
238/DZ_PG_26/ZM4387/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG138,WD1,2
239/DZ_PG_14/ZM4375/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG101,WD1,2
240/DZ_PG_55/ZM4355/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG146,WD1,2
241/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
242/DKC4590/XXXX/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,DKC4590,WD1,2
243/DZ_PG_30/ZM4361/WD1/2/DIA2017-05-19,Plant,DIA2017,Maize,iPG152,WD1,2
