Alias;Type;Experiment;Geometry;Parent;Species;Variety;ExperimentModalities;Repetition
84/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97397692 43.61276457, 3.97400717 43.61274597, 3.974055168 43.61278718, 3.974024917 43.61280578, 3.97397692 43.61276457));;Maize;iPG310;WW;2
85/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97394667 43.61278317, 3.97397692 43.61276457, 3.974024917 43.61280578, 3.973994667 43.61282438, 3.97394667 43.61278317));;Maize;DKC4590;WW;2
86/DKC4590/XXXX/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973916419 43.61280177, 3.97394667 43.61278317, 3.973994667 43.61282438, 3.973964417 43.61284298, 3.973916419 43.61280177));;Maize;DKC4590;WW;2
87/DZ_PG_47/ZM4362/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973886169 43.61282037, 3.973916419 43.61280177, 3.973964417 43.61284298, 3.973934166 43.61286158, 3.973886169 43.61282037));;Maize;iPG202;WW;2
88/DZ_PG_67/ZM4394/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973855918 43.61283897, 3.973886169 43.61282037, 3.973934166 43.61286158, 3.973903916 43.61288018, 3.973855918 43.61283897));;Maize;iPG310;WW;2
89/DZ_PG_22/ZM4349/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973825668 43.61285757, 3.973855918 43.61283897, 3.973903916 43.61288018, 3.973873665 43.61289878, 3.973825668 43.61285757));;Maize;iPG121;WW;2
90/DZ_PG_35/ZM4358/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973795418 43.61287617, 3.973825668 43.61285757, 3.973873665 43.61289878, 3.973843415 43.61291738, 3.973795418 43.61287617));;Maize;iPG164;WW;2
91/DZ_PG_49/ZM4389/WW/2/DIA2017-05-19;Plot;;Polygon ((3.973765167 43.61289477, 3.973795418 43.61287617, 3.973843415 43.61291738, 3.973813165 43.61293598, 3.973765167 43.61289477));;Maize;iPG228;WW;2
92/DZ_PG_53/ZM4345/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97371717 43.61285356, 3.97374742 43.61283496, 3.973795418 43.61287617, 3.973765167 43.61289477, 3.97371717 43.61285356));;Maize;iPG190;WW;2
93/DZ_PG_41/ZM4378/WW/2/DIA2017-05-19;Plot;;Polygon ((3.97374742 43.61283496, 3.973777671 43.61281636, 3.973825668 43.61285757, 3.973795418 43.61287617, 3.97374742 43.61283496));;Maize;iPG181;WW;2
